"","Plot.Code","Census.No","m.rates.annual","region"
"1","AGJ-01",2,0.0158913604734586,"3AMA_W"
"2","AGJ-01",3,0.0234762026006697,"3AMA_W"
"3","AGJ-01",4,0.0198875103832605,"3AMA_W"
"4","AGJ-01",5,0.0329363350976465,"3AMA_W"
"5","AGJ-01",6,0.0289877921993827,"3AMA_W"
"6","AGP-01",3,0.014385718359344,"3AMA_W"
"7","AGP-01",4,0.0143769968051118,"3AMA_W"
"8","AGP-01",5,0.0266513086981832,"3AMA_W"
"9","AGP-02",3,0.0340380987190427,"3AMA_W"
"10","AGP-02",4,0.0582025104300912,"3AMA_W"
"11","AGP-02",5,0.0284056926153237,"3AMA_W"
"12","ALF-01",2,0.0132150676205046,"4AMA_BrSh"
"13","ALF-01",3,0.0135392645761708,"4AMA_BrSh"
"14","ALF-01",4,0.0141738050613778,"4AMA_BrSh"
"15","ALF-02",2,0.0270164776792877,"4AMA_BrSh"
"16","ALF-02",3,0.0308683347111884,"4AMA_BrSh"
"17","ALM-01",2,0.0206770392768336,"3AMA_W"
"18","ALM-01",3,0.0197174583339631,"3AMA_W"
"19","ALM-01",4,0.0159026061653762,"3AMA_W"
"20","ALM-01",5,0.0178240301897082,"3AMA_W"
"21","ALP-01",10,0.010500109511943,"3AMA_W"
"22","ALP-01",2,0.0151926083539443,"3AMA_W"
"23","ALP-01",3,0.0344942510090001,"3AMA_W"
"24","ALP-01",4,0.0245922299518663,"3AMA_W"
"25","ALP-01",5,0.0118408667596862,"3AMA_W"
"26","ALP-01",6,0.0236833878777265,"3AMA_W"
"27","ALP-01",7,0.0415840495710156,"3AMA_W"
"28","ALP-01",8,0.00920832388258008,"3AMA_W"
"29","ALP-01",9,0.0253152670985248,"3AMA_W"
"30","ALP-30",2,0.0116666247955587,"3AMA_W"
"31","ALP-30",3,0.00193397415768859,"3AMA_W"
"32","ALP-30",4,0.0238748905506547,"3AMA_W"
"33","ALP-30",5,0.024880914375787,"3AMA_W"
"34","ALP-30",6,0.0187891440501043,"3AMA_W"
"35","ALP-30",7,0.0248135131255516,"3AMA_W"
"36","ALP-40",2,0.0145591296855544,"3AMA_W"
"37","ALP-40",3,0.0151928439997069,"3AMA_W"
"38","ALP-40",4,0.0174435996626221,"3AMA_W"
"39","ALV-01",2,0.0124601684894502,"4AMA_BrSh"
"40","ALV-02",2,0.0182964969507412,"4AMA_BrSh"
"41","AMA-02",2,0.0133766159432964,"3AMA_W"
"42","BAR-01",2,0.0189460165061917,"3AMA_W"
"43","BAR-01",3,0.0111330566976482,"3AMA_W"
"44","BAR-01",4,0.0237448782069822,"3AMA_W"
"45","BAR-01",5,0.0249292879411153,"3AMA_W"
"46","BAR-01",6,0.0132784415139628,"3AMA_W"
"47","BDF-01",2,0.00879378272389408,"2AMA_EC"
"48","BDF-01",3,0.0167467671507221,"2AMA_EC"
"49","BDF-01",4,0.00995356743111864,"2AMA_EC"
"50","BDF-01",5,0.00942090407019691,"2AMA_EC"
"51","BDF-01",6,0.0123573922464447,"2AMA_EC"
"52","BDF-03",3,0.0108692049459568,"2AMA_EC"
"53","BDF-03",4,0.013352587717521,"2AMA_EC"
"54","BDF-03",5,0.0134373582631451,"2AMA_EC"
"55","BDF-03",6,0.0155770289197451,"2AMA_EC"
"56","BDF-04",3,0.0706067158097088,"2AMA_EC"
"57","BDF-04",4,0.0179688033039374,"2AMA_EC"
"58","BDF-04",5,0.0312031208254151,"2AMA_EC"
"59","BDF-04",6,0.0137374385118594,"2AMA_EC"
"60","BDF-05",3,0.022235435158125,"2AMA_EC"
